NMF,LC,NAD, NUC, NMS, NMD, Entropy ,MLMF,CFC,NCC,NMC,Tag
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
4,51,0,10,1,2,1.53554765,485,11,303,4,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,0,0,16,1,1,0,462,0,1,0,NoArch
24,378,14,17,1,6,4.080698285,4615,60,289,32,Arch
61,66,0,18,1,9,5.29439242,9223,0,6,0,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
15,24,4,18,1,3,3.201329052,2777,2,135,3,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
12,641,6,14,1,4,3.017296424,871,56,2544,38,Arch
0,0,0,0,0,0,0,0,0,0,0,NoArch
8,9,0,12,1,3,2.846301808,445,0,0,0,NoArch
1,11,0,14,1,1,0,270,6,62,1,NoArch
6,23,0,19,1,4,2.022012759,2090,3,164,5,NoArch
6,229,3,13,1,4,1.802370874,515,21,1116,17,Arch
2,168,1,4,1,2,0.193196413,623,4,948,4,NoArch
3,85,1,5,1,2,0.309461189,581,6,381,2,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,7,0,15,1,1,0,281,3,82,0,NoArch
2,28,0,2,1,1,1,68,0,0,0,NoArch
8,163,0,14,1,3,2.517193933,904,21,932,17,NoArch
2,3,0,19,1,1,0.721928095,1046,2,29,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
2,350,2,1,1,2,0.994693795,0,74,2409,23,Arch
23,243,2,20,1,6,3.433059815,3366,40,1514,22,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
5,43,0,20,1,5,1.494220774,1600,4,320,7,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
2,34,0,3,1,2,1,156,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
97,2508,33,16,1,12,5.434778564,14470,303,10953,159,Arch
2,10,0,15,1,2,0.286396957,499,6,91,0,NoArch
24,22,0,22,1,7,4.074760941,5530,2,141,2,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
1,3,0,14,1,1,0,149,4,29,0,NoArch
2,22,0,23,1,2,0.249882293,1623,4,71,2,NoArch
3,127,1,23,1,3,0.86705026,602,12,660,9,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
3,118,2,21,1,2,1.501727227,359,10,392,4,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
0,0,0,0,0,0,0,0,0,0,0,NoArch
