,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,0.0,0.0,98.51,100.0
commit2--commit3,0.0,0.0,98.51,100.0
commit3--commit4,0.0,0.0,98.51,100.0
commit4--commit5,0.0,0.0,98.51,100.0
commit5--commit6,0.0,0.0,98.51,100.0
commit6--commit7,0.0,0.0,98.51,100.0
commit7--commit8,0.0,0.0,98.51,100.0
commit8--commit9,0.0,0.0,98.51,100.0
commit9--commit10,0.0,0.0,98.51,100.0
commit10--commit11,0.0,0.0,98.51,100.0
commit11--commit12,0.0,0.0,98.51,100.0
commit12--commit13,0.0,0.0,98.51,100.0
commit13--commit14,0.0,0.0,98.51,100.0
commit14--commit15,0.0,0.0,98.51,100.0
commit15--commit16,0.0,0.0,98.51,100.0
commit16--commit17,0.0,0.0,98.51,100.0
commit17--commit18,0.0,0.0,98.51,100.0
commit18--commit19,0.0,0.0,98.51,100.0
commit19--commit20,0.0,0.0,98.51,100.0
commit20--commit21,0.0,0.0,98.51,100.0
commit21--commit22,0.0,0.0,98.51,100.0
commit22--commit23,0.0,0.0,98.51,100.0
commit23--commit24,0.0,0.0,98.51,100.0
commit24--commit25,0.0,0.0,98.51,100.0
commit25--commit26,0.0,0.0,98.51,100.0
commit26--commit27,0.0,0.0,98.51,100.0
commit27--commit28,0.0,0.0,98.51,100.0
commit28--commit29,0.0,0.0,98.51,100.0
commit29--commit30,0.0,0.0,98.51,100.0
commit30--commit31,0.0,0.0,98.51,100.0
commit31--commit32,0.0,0.0,98.51,100.0
commit32--commit33,0.0,0.0,98.51,100.0
commit33--commit34,0.0,0.0,98.51,100.0
commit34--commit35,0.0,0.0,98.51,100.0
commit35--commit36,0.0,0.0,98.51,100.0
commit36--commit37,0.0,0.0,98.51,100.0
commit37--commit38,0.0,0.0,98.51,100.0
commit38--commit39,0.0,0.0,98.51,100.0
commit39--commit40,0.0,0.0,98.51,100.0
commit40--commit41,0.0,0.0,98.51,100.0
commit41--commit42,0.0,0.0,98.51,100.0
