aea572bd3925afb31f2cae5e05b913d88d1338ca,/,/,    o Fixed typos and enabled actual forking to prevent any class path clashes,/,/
0579e639c2c4ccc8eb1f3c99f69b504c11555cfa,/,/,    improve profiling script,/,/
ab39d82dd13203eb48dfc01328aac73b59991be6,/,/,    [maven-release-plugin] prepare for next development iteration,/,/
99823b034ed33d274d7c68eea1cf54f021388214,/,/,    [maven-release-plugin] prepare release maven-3.0-beta-2,/,/
33a81408e1dca7c3cf12fc68f7d331368797019b,/,/,    o Fixed javadoc,/,/
a9a19a7a62ffb35722716d84d7700e940cb2e0bd,MNG-4615,Bug,[regression] @required plugin parameters are not validated,Plugins and Lifecycle,Critical
2a5fde5cac7d8168cdc3a2351f9a6e04a909e5c6,/,/,    updated Modello schema version when necessary,/,/
56aae7adbbf569c1463cdb5be7692a9ba5ffe89b,/,/,    updated Modello schema used to 1.4.0 for java.clone attribute support in class element,/,/
57e54dc4c086264f770a4fa414efe06fde7200d0,/,/,    added generics to hand-written code in model (merged from 2.2 branch r982716),/,/
e96c8dab7eda4abc29f9cf9a0843e90afca1e6ab,MNG-4750,Bug,[regression] MavenProject.getDependencyArtifacts() aren&apos;t resolved,Artifacts and Repositories,Major
629fd749e59a679809c86eb26d554520e4de3a78,/,/,    [maven-scm] copy for tag maven-3.0,/,/
eaf528f2cefcebaaf01c3bf2acbecaef661ce33d,/,/,    [maven-release-plugin] prepare release maven-3.0,/,/
b175144ead81f6c0902028d32baa71ce1b7a68d8,/,/,    o Updaed to aether:1.7,/,/
a54c02e3f35365467ed28122621ebaecb271a58f,MNG-4845,Bug,[regression] MavenProject.getDependencyArtifact() returns artifacts without version for dependency with version range,Dependencies,Major
5d7c76403d12c7006a44564de2ca9913b4c338a8,/,/,    o Improved backward-compat,/,/
3b986a00d86b491e23728c5d75aa6b3850244b40,/,/,    o Updated to plexus-component-metadata:1.5.5,/,/
789ee6703edf0c7d5fe61289a9da9df92af07ab8,MNG-4842,Bug,[regression] Repositories discovered in dependency POMs override repositories configured for original resolution request of POM,Dependencies,Major
b428381d996ddfa8291bfad590c4211a6f7bae9c,/,/,    o Fixed bootstrap to use proper local repo when processing main POM,/,/
069a4a7985da2d959f5271a423e7646ec7a4767d,/,/,    o Improved error message in case of dependency resolution,/,/
23078634208d189cb7b9183aed0c1311f3979002,/,/,    o Cleaned up code to slightly better account for lifecycle phases without any mojo executions,/,/
f7809d39816c2a484f9dd578f4fe338254ed69a4,/,/,    o Polished bootstrap,/,/
388e659a17d23cba75afd93336181f768248efa3,/,/,    [maven-release-plugin] prepare for next development iteration,/,/
8f839aef4c7094cc12e25bf2f817354eb314ad6d,/,/,    [maven-release-plugin] prepare release maven-3.0-RC3,/,/
2c073d024b1fd876adbf857ea0da291b9b41e67a,MNG-4794,Bug,&apos;org.apache.maven.plugins:maven-install-plugin:2.3.1&apos;. A required class is missing: org.codehaus.plexus.digest.Digester,None,Blocker
 ,MNG-4798,Bug,NullPointerException at NearestVersionConflictResolver.selectVersion(),None,Major
759db789e10623626ebb00690c24e8935698f5d4,MNG-4834,Bug,[regression] MavenProject.getParent() ignores configured repositories,None,Minor
87d3ffae46af3947b264be70eb3b2bd66601a14f,MNG-4832,Bug,Maven 3 Regression: Missing constructor of org.codehaus.plexus.component.configurator.converters.special.ClassRealmConverter,None,Blocker
f87fea9589ad78bd856817da3c843bce3d030329,MNG-4836,Bug,Incorrect recursive expression cycle errors (update plexus-interpolation),Inheritance and Interpolation,Major
3fca2bb2d6a0e4075beb86c94875650a319d0830,MNG-4837,Bug,Interpolation error due to cyclic expression for one of the POM coordinates gets needlessly repeated,Inheritance and Interpolation,Minor
0707794c271b1a9c15eb26ff73c5e40b5ad2a71d,/,/,    [maven-release-plugin] prepare for next development iteration,/,/
eecf91a606783d47670c37d083ec0939f62aa756,/,/,    [maven-release-plugin] prepare release maven-3.0-RC2,/,/
a0b4f112bb02dca972ed5d238dd3523877f77b2e,MNG-4811,Bug,Custom Maven Plugin regression in Maven 3.x  custom ComponentConfigurator causes infinite loop,None,Blocker
73b8f102f6064edfa83ea98ea643d372c150c13e,MNG-4815,Improvement,(3.0-RC1) Maven Java API does not give nice error messages when improperly configured,Errors,Major
137b64e837d56f6aa1571bdde765b85dc256a8df,/,/,    o Fixed glitch in daily update policy which uses wrong timezone,/,/
ca16d93499d7074bf0c0e2170acee0e691e62409,MNG-4829,Bug,[regression] Checksum failures aren&apos;t logged,Artifacts and Repositories,Major
3996f56e8578885d9ea9a57e38775df8f3b61013,MNG-4824,Improvement,multiple failures need additional whitespace,Logging,Major
9e99fe5e65cdcb488d1a22eb5c20a165bb4bc5f2,MNG-4818,Bug,NPE in legacy.DefaultWagonManager.getArtifact,Artifacts and Repositories,Major
1be90a985a25e206682a9220b78dfe1f66700ab5,MNG-4825,Improvement,Relative path errors could be more explicit,Logging,Major
11afa6961fa34cb4d666759b646c06f700a744f9,/,/,    o Fixed repo logging to go consistently through listener,/,/
3bbe5bcd80f1b2f1f228d498667c1b746f467e9f,MNG-4805,Task,Update default plugin versions used for built-in lifecycle mappings,Plugins and Lifecycle,Trivial
f0e9201748ed4725f86bc6924e514a8fbe15efe5,/,/,    renamed spice-inject to sisu,/,/
fefa1696047c22f3982621f4810c49babd7c5351,MNG-4814,Bug,Eary dependency resolution attempts for reactor projects prevent their later resolution from the reactor,Artifacts and Repositories,Major
